"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"2004-3","0140","T2G","September 30, 2004","CALGARY",200,1,200,0
"2004-3","0140","T2P","September 30, 2004","CALGARY",124,1,124,0
"2004-3","0140","T2C","September 30, 2004","CALGARY",3,1,3,0
"2004-3","0140","T2N","September 30, 2004","CALGARY",7,4,1.75,0
"2004-3","0140",NA,"September 30, 2004","CALGARY",42,5,8.4,0
"2004-3","0140","nan","September 30, 2004","CALGARY",8372,4139,2.02271079971008,0
"2004-3","0140","T2R","September 30, 2004","CALGARY",351,1,351,0
"2004-3","0140","T2H","September 30, 2004","CALGARY",1,1,1,0
"2004-3","0140","T2E","September 30, 2004","CALGARY",115,5,23,0
"2004-3","0140","T2T","September 30, 2004","CALGARY",15,5,3,0
"2004-4","0140",NA,"December 31, 2004","CALGARY",51,7,7.28571428571429,0
"2004-4","0140","T3E","December 31, 2004","CALGARY",250,1,250,0
"2004-4","0140","T2C","December 31, 2004","CALGARY",154,3,51.3333333333333,0
"2004-4","0140","T3C","December 31, 2004","CALGARY",2,2,1,0
