"reference_period_qq","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","ref_qq","ref_yy","population","comp_per_10kpop"
"1991-3","2440","September 30, 1991",NA,688,NA,NA,360,1.91111111111111,0.122222222222222,3.53333333333333,"3","1991",299170.955,22.9968848413109
"1991-3","1700","September 30, 1991","SASKATOON",89,NA,NA,75,1.18666666666667,0.04,3.26666666666667,"3","1991",218807.933,4.06749420735125
"1991-3","2680","September 30, 1991","WINNIPEG",439,NA,NA,439,1,0,4.92255125284738,"3","1991",677563.387,6.47909861162554
"1991-3","0140","September 30, 1991","CALGARY",1511,NA,NA,1259,1.20015885623511,0.00238284352660842,3.19618745035743,NA,NA,NA,NA
"1991-3","1265","September 30, 1991",NA,896,NA,NA,653,1.37212863705972,0,3.90658499234303,"3","1991",727177.8748,12.3216070104778
"1991-3","0340","September 30, 1991","EDMONTON",1165,NA,NA,961,1.21227887617066,0.0426638917793965,4.2060353798127,NA,NA,NA,NA
"1991-3","1060","September 30, 1991",NA,6802,NA,NA,4118,1.6517727051967,0.125303545410393,2.26663428848956,"3","1991",3419012.13,19.8946354717964
"1991-3","1400","September 30, 1991",NA,2166,NA,NA,1252,1.73003194888179,0,2.29233226837061,"3","1991",672026.583,32.2308678673207
"1991-3","0610","September 30, 1991",NA,492,NA,NA,276,1.78260869565217,0,4.58333333333333,NA,NA,NA,NA
"1991-3","2270","September 30, 1991","TORONTO",5993,NA,NA,2459,2.43716958113054,0.0756405042700285,6.98779991866612,"3","1991",4073350.04,14.712705613682
"1991-4","0580","December 31, 1991",NA,844,NA,NA,352,2.39772727272727,0.0170454545454545,9.29829545454546,NA,NA,NA,NA
"1991-4","2680","December 31, 1991","WINNIPEG",446,NA,NA,280,1.59285714285714,0.0107142857142857,4.10357142857143,"4","1991",678041.227,6.57777111833349
"1991-4","0340","December 31, 1991","EDMONTON",1180,NA,NA,968,1.21900826446281,0.00309917355371901,3.91012396694215,NA,NA,NA,NA
