"","ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","population","comp_per_10kpop"
"110","1990","0610",5,4,"March 31, 1990",NA,51,NA,NA,1,51,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"619584.027",0.823132904941721
"111","1990","1060",4,1,"September 30, 1990",NA,393,NA,NA,90,4.36666666666667,0.966666666666667,6.97826086956522,1.34831460674157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3408409.74",1.15303038654032
"112","1990","1060",4,3,"September 30, 1990",NA,86,NA,NA,19,4.52631578947368,1.05263157894737,9.2,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3408409.74",0.252317082041903
"113","1990","1060",5,2,"December 31, 1990",NA,6319,NA,NA,1013,6.23790720631787,0.702862783810464,5.59310344827586,0.928783382789317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3408409.74",18.5394376909626
"114","1990","1060",5,3,"September 30, 1990",NA,4309,NA,NA,323,13.3405572755418,0.894736842105263,9,1.04075235109718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3408409.74",12.6422593781228
"115","1990","1060",5,4,"March 31, 1990",NA,254,NA,NA,18,14.1111111111111,0,6.61111111111111,2.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3408409.74",0.745215567891201
"116","1990","1265",1,1,"June 30, 1990","OTTAWA",2913,NA,NA,2913,1,0,5.49856262833676,0.936148300720906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"728702.2202749951",39.9751766764304
"117","1990","1265",2,2,"December 31, 1990","OTTAWA",10,NA,NA,5,2,0,4.33333333333333,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"728702.2202749951",0.137230266654412
"118","1990","1265",4,1,"September 30, 1990",NA,789,NA,NA,156,5.05769230769231,0,5.80575539568345,0.807692307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"728702.2202749951",10.8274680390331
"119","1990","1400",4,1,"September 30, 1990",NA,172,NA,NA,31,5.54838709677419,0,6.54545454545455,1.51612903225806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"667363.106",2.5773075924278
