"","ref_yy","CSDuid","dweltype","mkttycd","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"201","1988","2465440",2,1,"December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"202","1988","2465440",5,3,"December 31, 1988","1060",NA,NA,31,1,31,8,4,"3351700.63",0.0924903606322382
"203","1988","2465480",1,1,"December 31, 1988","1060",NA,NA,0,2,0,0,4,"3351700.63",0
"204","1988","2465480",4,1,"December 31, 1988","1060",NA,NA,10,1,10,0,4,"3351700.63",0.0298356002039478
"205","1988","2465480",4,3,"December 31, 1988","1060",NA,NA,3,1,3,0,4,"3351700.63",0.00895068006118434
"206","1988","2465480",5,3,"December 31, 1988","1060",NA,NA,169,11,15.3636363636364,5.09090909090909,4,"3351700.63",0.504221643446718
"207","1988","2465500",1,1,"December 31, 1988","1060",NA,NA,2,7,0.285714285714286,0,4,"3351700.63",0.00596712004078956
"208","1988","2465500",2,1,"December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"209","1988","2465500",5,3,"December 31, 1988","1060",NA,NA,45,5,9,1.8,4,"3351700.63",0.134260200917765
"210","1988","2465540",1,1,"December 31, 1988","1060",NA,NA,4,4,1,0,4,"3351700.63",0.0119342400815791
"211","1988","2465540",4,1,"December 31, 1988","1060",NA,NA,11,5,2.2,0,4,"3351700.63",0.0328191602243426
"212","1988","2465540",4,3,"December 31, 1988","1060",NA,NA,4,2,2,0,4,"3351700.63",0.0119342400815791
"213","1988","2465580",1,1,"December 31, 1988","1060",NA,NA,46,48,0.958333333333333,0,4,"3351700.63",0.13724376093816
"214","1988","2465580",4,1,"December 31, 1988","1060",NA,NA,5,3,1.66666666666667,0,4,"3351700.63",0.0149178001019739
"215","1988","2465580",4,3,"December 31, 1988","1060",NA,NA,2,1,2,0,4,"3351700.63",0.00596712004078956
"216","1988","2465580",5,3,"December 31, 1988","1060",NA,NA,7,3,2.33333333333333,3,4,"3351700.63",0.0208849201427635
"217","1988","2465600",1,1,"December 31, 1988","1060",NA,NA,12,24,0.5,0,4,"3351700.63",0.0358027202447374
"218","1988","2465600",4,1,"December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"219","1988","2465620",1,1,"December 31, 1988","1060",NA,NA,3,7,0.428571428571429,0,4,"3351700.63",0.00895068006118434
"220","1988","2465620",2,1,"December 31, 1988","1060",NA,NA,2,1,2,0,4,"3351700.63",0.00596712004078956
"221","1988","2465620",4,1,"December 31, 1988","1060",NA,NA,5,3,1.66666666666667,0,4,"3351700.63",0.0149178001019739
