"ref_yy","metcode","censustr","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0340","0162.02","December 31, 2006","EDMONTON","835",27,20,1.35,0,"8350162.02"
"2006","0340","0163.03","December 31, 2006","EDMONTON","835",1,1,1,0,"8350163.03"
"2006","0340","0163.04","December 31, 2006","EDMONTON","835",19,31,0.612903225806452,0,"8350163.04"
"2006","0340","0164.00","December 31, 2006","EDMONTON","835",4,17,0.235294117647059,0,"8350164.00"
"2006","0340","0165.01","December 31, 2006","EDMONTON","835",0,2,0,0,"8350165.01"
"2006","0340","0165.02","December 31, 2006","EDMONTON","835",1,2,0.5,0,"8350165.02"
"2006","0340","0166.00","December 31, 2006","EDMONTON","835",1,1,1,0,"8350166.00"
"2006","0580","0001.00","December 31, 2006","HALIFAX","205",1,4,0.25,0,"2050001.00"
"2006","0580","0002.00","December 31, 2006","HALIFAX","205",1,2,0.5,0,"2050002.00"
"2006","0580","0014.00","December 31, 2006","HALIFAX","205",3,2,1.5,0,"2050014.00"
"2006","0580","0015.00","December 31, 2006","HALIFAX","205",0,1,0,0,"2050015.00"
"2006","0580","0016.00","December 31, 2006","HALIFAX","205",1,3,0.333333333333333,0,"2050016.00"
"2006","0580","0017.00","December 31, 2006","HALIFAX","205",1,2,0.5,0,"2050017.00"
"2006","0580","0019.00","December 31, 2006","HALIFAX","205",3,3,1,0,"2050019.00"
"2006","0580","0027.00","December 31, 2006","HALIFAX","205",104,8,13,0,"2050027.00"
"2006","0580","0104.02","December 31, 2006","HALIFAX","205",0,4,0,0,"2050104.02"
"2006","0580","0106.01","December 31, 2006","HALIFAX","205",0,1,0,0,"2050106.01"
"2006","0580","0106.02","December 31, 2006","HALIFAX","205",1,20,0.05,0,"2050106.02"
"2006","0580","0121.03","December 31, 2006","HALIFAX","205",0,2,0,0,"2050121.03"
"2006","0580","0121.06","December 31, 2006","HALIFAX","205",1,5,0.2,0,"2050121.06"
"2006","0580","0121.07","December 31, 2006","HALIFAX","205",0,5,0,0,"2050121.07"
