"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"140","2022","1265","December 31, 2022","OTTAWA",16298,3427,4.75576305806828,0.32156405018967,4,"1143407",142.538920961652
"141","1988","0580","December 31, 1988",NA,1371,520,2.63653846153846,0,4,"326937.956",41.9345620427137
"142","1988","1490","December 31, 1988","REGINA",612,257,2.38132295719844,0.0350194552529183,4,"195585.119",31.2907241168997
"143","1988","1700","December 31, 1988","SASKATOON",694,171,4.05847953216374,0.087719298245614,4,"216113.54",32.1127496222587
"144","1988","2410","December 31, 1988","VANCOUVER",9879,4404,2.24318801089918,0.00567665758401453,4,"1562206",63.2374987677681
"145","1989","0580","December 31, 1989",NA,1667,483,3.45134575569358,0,4,"332122.421",50.1923355544852
"146","1989","1490","December 31, 1989","REGINA",298,158,1.88607594936709,0.0189873417721519,4,"195307.253",15.2580099009431
"147","1989","1700","December 31, 1989","SASKATOON",205,102,2.00980392156863,0.0196078431372549,4,"215816.647",9.49880386196529
"148","1989","2410","December 31, 1989","VANCOUVER",13577,5171,2.62560433185071,0.0440920518274995,4,"1602542.22",84.7216368502291
"149","1990","0580","December 31, 1990",NA,1371,401,3.41895261845387,0.00748129675810474,4,"336873.735",40.6977409503297
"150","1990","1490","December 31, 1990","REGINA",218,95,2.29473684210526,0.0842105263157895,4,"195899.253",11.1281690288018
"151","1990","1700","December 31, 1990","SASKATOON",211,81,2.60493827160494,0.037037037037037,4,"217086.473",9.71962909913784
"152","1990","2410","December 31, 1990",NA,11305,3012,3.75332005312085,0.180942895086321,4,"1640691.8599999999",68.903858644121
"153","1991","0580","December 31, 1991",NA,1595,301,5.29900332225914,0,4,"339543.428",46.9748452913658
"154","1991","1490","December 31, 1991","REGINA",112,79,1.41772151898734,0.0379746835443038,4,"196775.47699999998",5.69176615437705
"155","1991","1700","December 31, 1991","SASKATOON",121,68,1.77941176470588,0,4,"219336.144",5.51664663166505
"156","1991","2410","December 31, 1991","VANCOUVER",11430,3700,3.08918918918919,0.0994594594594595,4,"1683577.65",67.8911364735687
"157","1992","0580","December 31, 1992",NA,1246,476,2.61764705882353,0,4,"342512.01900000003",36.3782854580645
"158","1992","1490","December 31, 1992","REGINA",295,185,1.59459459459459,0.0432432432432432,4,"198087.61000000002",14.892400387889
"159","1992","1700","December 31, 1992","SASKATOON",227,84,2.70238095238095,0,4,"221094.419",10.2671067423009
"160","1992","2410","December 31, 1992","VANCOUVER",13623,4024,3.38543737574553,0.144383697813121,4,"1726331.88",78.9129839854432
