"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1997","2270","March 31, 1997","TORONTO",25574,NA,NA,16396,1.55977067577458,0.0164674310807514,0.789727911953531,"1997-4","4",4562392.82,56.0539195307606
"1997","1060","March 31, 1997","MONTRÉAL",10508,NA,NA,6533,1.60844941068422,0.016684524720649,0.329884357881923,"1997-4","4",3532106.29,29.7499540989181
"1997","1490","June 30, 1997","REGINA",516,NA,NA,379,1.36147757255937,0,0.156583629893238,"1997-4","4",199684.114,25.8408137564714
"1997","1265","March 31, 1997",NA,3485,NA,NA,2360,1.47669491525424,0.00296610169491525,0.39364406779661,"1997-4","4",778863.3907,44.7446887555964
"1997","0140","March 31, 1997","CALGARY",11215,NA,NA,9156,1.22487986020096,0,0.313346439493228,"1997-4","4",899742.314,124.64679970581
"1998","0610","March 31, 1998","HAMILTON",3627,NA,NA,2079,1.74458874458874,0.037037037037037,0.5865,"1998-4","4",665324.812,54.5147262597506
"1998","1265","March 31, 1998",NA,3615,NA,NA,2543,1.42154935116005,0,0.454974439638223,"1998-4","4",788559.594,45.8430792993434
"1998","1700","March 31, 1998","SASKATOON",1137,NA,NA,773,1.47089262613195,0,0.358814352574103,"1998-4","4",232227.483,48.9606133310242
"1998","1060","March 31, 1998","MONTRÉAL",10293,NA,NA,6749,1.52511483182694,0.0157060305230405,0.595226130653266,"1998-4","4",3558502.17,28.9250912554593
"1998","0340","March 31, 1998","EDMONTON",5947,NA,NA,4297,1.38398882941587,0,0.512778429073857,"1998-4","4",930636.07,63.9025306637857
"1998","2440","March 31, 1998","VICTORIA",964,NA,NA,606,1.59075907590759,0.00495049504950495,0.389438943894389,"1998-4","4",320423.967,30.0851402916437
"1998","1490","March 31, 1998","REGINA",537,NA,NA,478,1.1234309623431,0,0.613138686131387,"1998-4","4",199958.691,26.8555468789301
"1998","0580","December 31, 1998",NA,1739,NA,NA,1209,1.4383788254756,0.00496277915632754,0.646367521367521,"1998-4","4",362651.652,47.9523529097284
"1998","0140","March 31, 1998","CALGARY",12495,NA,NA,9744,1.2823275862069,0.00236042692939245,0.303468801313629,"1998-4","4",925463.089,135.013488366147
"1998","1400","March 31, 1998","QUÉBEC",1845,NA,NA,1270,1.45275590551181,0,0.204724409448819,"1998-4","4",697579.086,26.4486140285461
"1998","2270","June 30, 1998","TORONTO",25910,NA,NA,15187,1.7060643971818,0.0129057746757095,0.808821584446502,"1998-4","4",4642956.2,55.8049632258
"1998","2680","March 31, 1998","WINNIPEG",1575,NA,NA,1229,1.28152969894223,0,0.292921074043938,"1998-4","4",687770.691,22.9000744086665
"1998","2410","March 31, 1998","VANCOUVER",11878,NA,NA,4127,2.87811969953962,0.217349164041677,0.633785748909355,"1998-4","4",2009927.38,59.096662487378
"1999","0610","June 30, 1999",NA,3923,NA,NA,2193,1.78887368901049,0,0.29945999018164,"1999-4","4",674016.069,58.2033601338368
"1999","2680","September 30, 1999","WINNIPEG",1772,NA,NA,1240,1.42903225806452,0,0.316935483870968,"1999-4","4",692120.877,25.6024642354489
