reference_period,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2014,Calgary,0140,1.0,1.0,3659.0,3659,1.0,0.0,25.93
2014,Calgary,0140,2.0,3.0,86.0,43,2.0,0.0,0.61
2014,Calgary,0140,5.0,2.0,1384.0,16,86.5,6.75,9.81
2014,Calgary,0140,4.0,3.0,2012.0,350,5.75,0.0,14.26
2014,Calgary,0140,4.0,1.0,105.0,25,4.2,0.0,0.74
2014,Calgary,0140,2.0,1.0,1044.0,522,2.0,0.0,7.4
2015,Calgary,0140,2.0,1.0,728.0,364,2.0,0.0,5.07
2015,Calgary,0140,1.0,1.0,2367.0,2367,1.0,0.0,16.49
2015,Calgary,0140,1.0,3.0,2.0,2,1.0,0.0,0.01
2015,Calgary,0140,2.0,3.0,34.0,17,2.0,0.0,0.24
2015,Calgary,0140,5.0,1.0,4.0,2,2.0,1.0,0.03
2015,Calgary,0140,1.0,2.0,2.0,2,1.0,0.0,0.01
2015,Calgary,0140,4.0,1.0,213.0,45,4.73,0.0,1.48
2015,Calgary,0140,4.0,2.0,52.0,13,4.0,0.0,0.36
2015,Calgary,0140,4.0,3.0,1239.0,206,6.01,0.0,8.63
2015,Calgary,0140,5.0,2.0,2292.0,21,109.14,7.1,15.97
2015,Calgary,0140,5.0,3.0,6840.0,120,57.0,5.77,47.65
2016,Calgary,0140,5.0,2.0,1259.0,13,96.85,7.62,8.65
2016,Calgary,0140,1.0,1.0,2207.0,2207,1.0,0.0,15.16
2016,Calgary,0140,2.0,1.0,654.0,327,2.0,0.0,4.49
2016,Calgary,0140,5.0,1.0,9.0,2,4.5,2.5,0.06
2016,Calgary,0140,4.0,1.0,285.0,48,5.94,0.0,1.96
2016,Calgary,0140,4.0,3.0,688.0,117,5.88,0.0,4.73
2016,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
2016,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.01
2016,Calgary,0140,2.0,3.0,18.0,9,2.0,0.0,0.12
2016,Calgary,0140,4.0,2.0,24.0,2,12.0,0.0,0.16
2016,Calgary,0140,5.0,3.0,4613.0,78,59.14,6.4,31.7
2016,Calgary,0140,1.0,3.0,1.0,1,1.0,0.0,0.01
2017,Calgary,0140,2.0,3.0,14.0,7,2.0,0.0,0.09
2017,Calgary,0140,5.0,2.0,1018.0,13,78.31,7.46,6.88
2017,Calgary,0140,4.0,3.0,498.0,75,6.64,0.0,3.37
2017,Calgary,0140,5.0,3.0,4662.0,78,59.77,5.62,31.5
2017,Calgary,0140,1.0,1.0,2585.0,2585,1.0,0.0,17.47
2017,Calgary,0140,4.0,1.0,671.0,133,5.05,0.0,4.53
2017,Calgary,0140,2.0,1.0,810.0,405,2.0,0.0,5.47
2017,Calgary,0140,4.0,2.0,40.0,6,6.67,0.0,0.27
2018,Calgary,0140,1.0,1.0,2134.0,2134,1.0,0.0,14.13
2018,Calgary,0140,2.0,1.0,746.0,373,2.0,0.0,4.94
2018,Calgary,0140,5.0,3.0,4666.0,84,55.55,4.83,30.88
2018,Calgary,0140,5.0,2.0,2489.0,65,38.29,3.06,16.47
2018,Calgary,0140,4.0,3.0,635.0,108,5.88,0.0,4.2
2018,Calgary,0140,4.0,1.0,735.0,145,5.07,0.0,4.87
2018,Calgary,0140,1.0,3.0,1.0,1,1.0,0.0,0.01
2018,Calgary,0140,2.0,3.0,46.0,23,2.0,0.0,0.3
2019,Calgary,0140,5.0,2.0,2312.0,120,19.27,2.01,15.01
2019,Calgary,0140,2.0,1.0,710.0,355,2.0,0.0,4.61
2019,Calgary,0140,1.0,2.0,2.0,2,1.0,0.0,0.01
2019,Calgary,0140,5.0,3.0,4896.0,77,63.58,5.04,31.78
2019,Calgary,0140,2.0,3.0,16.0,8,2.0,0.0,0.1
2019,Calgary,0140,4.0,1.0,912.0,182,5.01,0.0,5.92
2019,Calgary,0140,1.0,1.0,2163.0,2163,1.0,0.0,14.04
2019,Calgary,0140,4.0,2.0,48.0,11,4.36,0.0,0.31
2019,Calgary,0140,4.0,3.0,525.0,86,6.1,0.0,3.41
2019,Calgary,0140,5.0,1.0,3.0,2,1.5,1.0,0.02
2020,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
2020,Calgary,0140,5.0,2.0,1992.0,113,17.63,2.42,12.82
2020,Calgary,0140,4.0,2.0,8.0,2,4.0,0.0,0.05
2020,Calgary,0140,4.0,3.0,388.0,62,6.26,0.0,2.5
2020,Calgary,0140,5.0,1.0,2.0,1,2.0,0.0,0.01
2020,Calgary,0140,2.0,1.0,582.0,291,2.0,0.0,3.75
2020,Calgary,0140,2.0,3.0,16.0,8,2.0,0.0,0.1
2020,Calgary,0140,4.0,1.0,816.0,155,5.26,0.0,5.25
2020,Calgary,0140,1.0,1.0,1899.0,1899,1.0,0.0,12.22
2020,Calgary,0140,5.0,3.0,4473.0,64,69.89,5.41,28.78
2021,Calgary,0140,1.0,2.0,39.0,39,1.0,0.0,0.24
2021,Calgary,0140,2.0,3.0,12.0,6,2.0,0.0,0.08
2021,Calgary,0140,1.0,1.0,3285.0,3285,1.0,0.0,20.54
2021,Calgary,0140,2.0,1.0,814.0,407,2.0,0.0,5.09
2021,Calgary,0140,4.0,3.0,588.0,94,6.26,0.0,3.68
2021,Calgary,0140,5.0,2.0,4222.0,103,40.99,3.47,26.41
2021,Calgary,0140,5.0,3.0,4493.0,70,64.19,4.9,28.1
2021,Calgary,0140,1.0,3.0,4.0,4,1.0,0.0,0.03
2021,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.01
2021,Calgary,0140,4.0,2.0,112.0,18,6.22,0.0,0.7
2021,Calgary,0140,4.0,1.0,867.0,179,4.84,0.0,5.42
2022,Calgary,0140,2.0,1.0,1120.0,560,2.0,0.0,6.69
2022,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.01
2022,Calgary,0140,4.0,1.0,1073.0,226,4.75,0.0,6.41
2022,Calgary,0140,1.0,1.0,4084.0,4084,1.0,0.0,24.39
2022,Calgary,0140,4.0,2.0,119.0,24,4.96,0.0,0.71
2022,Calgary,0140,5.0,3.0,4620.0,98,47.14,4.11,27.59
2022,Calgary,0140,1.0,2.0,42.0,42,1.0,0.0,0.25
2022,Calgary,0140,5.0,2.0,6426.0,401,16.02,1.05,38.37
2022,Calgary,0140,2.0,3.0,68.0,34,2.0,0.0,0.41
2022,Calgary,0140,1.0,3.0,33.0,33,1.0,0.0,0.2
2022,Calgary,0140,4.0,3.0,1007.0,168,5.99,0.0,6.01
2023,Calgary,0140,2.0,2.0,4.0,2,2.0,0.0,0.02
2023,Calgary,0140,2.0,3.0,54.0,27,2.0,0.0,0.31
2023,Calgary,0140,5.0,1.0,2.0,1,2.0,2.0,0.01
2023,Calgary,0140,5.0,2.0,9002.0,854,10.54,0.86,51.33
2023,Calgary,0140,1.0,3.0,26.0,26,1.0,0.0,0.15
2023,Calgary,0140,4.0,3.0,1278.0,230,5.56,0.0,7.29
2023,Calgary,0140,1.0,2.0,68.0,68,1.0,0.0,0.39
2023,Calgary,0140,4.0,2.0,137.0,23,5.96,0.0,0.78
2023,Calgary,0140,5.0,3.0,6287.0,114,55.15,4.23,35.85
2023,Calgary,0140,2.0,1.0,1188.0,594,2.0,0.0,6.77
2023,Calgary,0140,1.0,1.0,4102.0,4102,1.0,0.0,23.39
2023,Calgary,0140,4.0,1.0,1325.0,277,4.78,0.0,7.56
1988,Edmonton,0340,5.0,2.0,211.0,2,105.5,6.0,2.57
1988,Edmonton,0340,5.0,3.0,31.0,1,31.0,4.0,0.38
1988,Edmonton,0340,4.0,1.0,94.0,27,3.48,0.0,1.14
1988,Edmonton,0340,1.0,3.0,2.0,2,1.0,0.0,0.02
1988,Edmonton,0340,4.0,3.0,22.0,4,5.5,0.0,0.27
1988,Edmonton,0340,2.0,1.0,90.0,45,2.0,0.0,1.1
1988,Edmonton,0340,4.0,2.0,4.0,1,4.0,0.0,0.05
1988,Edmonton,0340,1.0,1.0,1087.0,1087,1.0,0.0,13.23
1989,Edmonton,0340,4.0,3.0,168.0,43,3.91,0.0,2.0
1989,Edmonton,0340,5.0,2.0,36.0,1,36.0,0.0,0.43
1989,Edmonton,0340,2.0,1.0,58.0,29,2.0,0.0,0.69
1989,Edmonton,0340,5.0,4.0,86.0,1,86.0,0.0,1.02
1989,Edmonton,0340,1.0,1.0,1546.0,1546,1.0,0.0,18.41
1989,Edmonton,0340,5.0,3.0,194.0,4,48.5,4.25,2.31
1989,Edmonton,0340,2.0,3.0,46.0,23,2.0,0.0,0.55
1989,Edmonton,0340,4.0,1.0,51.0,11,4.64,0.0,0.61
1989,Edmonton,0340,4.0,0.0,4.0,1,4.0,0.0,0.05
1990,Edmonton,0340,1.0,1.0,1388.0,1388,1.0,0.0,16.23
