reference_period,ref_qq,stcan_cmacode,metro,metcode,FSA,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2008-05-01,2,825,Calgary,0140,T0L,2.0,,,2,1.0,0.0,7.5,2.0
2008-05-01,2,825,Calgary,0140,T2J,140.0,,,1,140.0,6.0,31.0,0.0
2008-05-01,2,825,Calgary,0140,T2Y,1.0,,,1,1.0,0.0,21.0,6.0
2008-05-01,2,825,Calgary,0140,T2M,13.0,,,8,1.63,0.0,9.75,1.0
2008-05-01,2,825,Calgary,0140,T2C,133.0,,,78,1.71,0.05,7.0256410256410255,1.0
2008-05-01,2,825,Calgary,0140,T2S,3.0,,,3,1.0,0.0,21.333333333333332,1.0
2008-05-01,2,825,Calgary,0140,T2B,33.0,,,33,1.0,0.0,7.666666666666667,0.0
2008-05-01,2,825,Calgary,0140,T2T,39.0,,,20,1.95,0.0,15.0,0.0
2008-05-01,2,825,Calgary,0140,T2E,75.0,,,24,3.13,0.17,14.583333333333334,1.0
2008-06-01,2,825,Calgary,0140,T2L,3.0,,,3,1.0,0.0,16.333333333333332,2.0
2008-06-01,2,825,Calgary,0140,T2K,2.0,,,1,2.0,0.0,10.0,0.0
2008-06-01,2,825,Calgary,0140,T3E,102.0,,,31,3.29,0.13,10.870967741935484,1.0
2008-06-01,2,825,Calgary,0140,T0M,1.0,,,1,1.0,0.0,6.0,4.0
2008-06-01,2,825,Calgary,0140,T3J,11.0,,,11,1.0,0.0,5.909090909090909,0.0
