"","reference_period_qq","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"179","2003-1","0610","March 31, 2003","HAMILTON",1705,922,1.84924078091106,0.00216919739696312,2003,1,"704742.7139999999",24.1932263523905
"180","2003-1","1265","March 31, 2003","OTTAWA",3961,1573,2.51811824539097,0,2003,1,"870327.0389264299",45.5116275013815
"181","2003-2","0140","June 30, 2003","CALGARY",9395,4628,2.0300345721694,0,2003,2,"1038485.3800000001",90.4682933523821
"182","2003-2","0610","June 30, 2003","HAMILTON",1794,1039,1.72666025024062,0.0134744947064485,2003,2,"706329.737",25.3989023259826
"183","2003-2","1265","June 30, 2003","OTTAWA",4522,1809,2.49972360420122,0,2003,2,"873041.648787256",51.795925272082
"184","2003-3","0140","September 30, 2003","CALGARY",8671,4335,2.0002306805075,0,2003,3,"1042939.3600000001",83.1400207199007
"185","2003-3","0610","September 30, 2003","HAMILTON",1945,1185,1.64135021097046,0.0118143459915612,2003,3,"707921.79",27.4747864449829
"186","2003-3","1265","September 30, 2003","OTTAWA",4816,1854,2.59762675296656,0,2003,3,"875509.184254454",55.0079894832982
"187","2003-4","0140","December 31, 2003","CALGARY",8165,4035,2.02354399008674,0,2003,4,"1049550.64",77.7951981430834
"188","2003-4","0610","December 31, 2003","HAMILTON",1747,885,1.97401129943503,0.015819209039548,2003,4,"709382.018",24.6270691344195
"189","2003-4","1265","December 31, 2003","OTTAWA",4607,1801,2.55802332037757,0,2003,4,"877683",52.4904777693085
"190","2004-1","0140","March 31, 2004","CALGARY",8408,4085,2.05826193390453,0,2004,1,"1056851.44",79.5570662230446
"191","2004-1","0610","March 31, 2004","HAMILTON",1895,813,2.33087330873309,0.017220172201722,2004,1,"710767.445",26.6613223963852
"192","2004-1","1265","March 31, 2004","OTTAWA",4491,1603,2.8016219588272,0,2004,1,"879546.557583289",51.060401081437
"193","2004-2","0140","June 30, 2004","CALGARY",9229,4339,2.12698778520396,0,2004,2,"1064841.76",86.6701546340557
"194","2004-2","0610","June 30, 2004","HAMILTON",2353,1029,2.28668610301263,0.0136054421768707,2004,2,"712078.0700000001",33.044129557311
"195","2004-2","1265","June 30, 2004","OTTAWA",4828,1879,2.56945183608302,0.00638637573177222,2004,2,"881203.746113393",54.7886912793348
"196","2004-3","0140","September 30, 2004","CALGARY",9247,4174,2.21538092956397,0,2004,3,"1074973.74",86.020705956966
"197","2004-3","0610","September 30, 2004","HAMILTON",2699,1058,2.55103969754253,0.0132325141776938,2004,3,"713219.531",37.8424858362439
"198","2004-3","1265","September 30, 2004","OTTAWA",4738,2092,2.26481835564054,0.00573613766730402,2004,3,"882788.5615868",53.6708358735812
"199","2004-4","0140","December 31, 2004","CALGARY",9182,3984,2.30471887550201,0,2004,4,"1083762.24",84.7233799177207
"200","2004-4","0610","December 31, 2004","HAMILTON",2601,1097,2.37101185050137,0.0127620783956244,2004,4,"714418.297",36.4072422406057
"201","2004-4","1265","December 31, 2004","OTTAWA",4705,1888,2.49205508474576,0.00635593220338983,2004,4,"884435",53.1978042479097
"202","2005-1","0140","March 31, 2005","CALGARY",9691,4254,2.27809120827457,0,2005,1,"1092659.3900000001",88.6918658155676
"203","2005-1","0610","March 31, 2005","HAMILTON",2469,1067,2.31396438612933,0,2005,1,"715580.006",34.503479405488
"204","2005-1","1265","March 31, 2005","OTTAWA",4145,1469,2.8216473791695,0.00816882232811436,2005,1,"886231.8401154111",46.7710571023967
"205","2005-2","0140","June 30, 2005","CALGARY",9580,4303,2.22635370671624,0,2005,2,"1101665.19",86.9592693584155
"206","2005-2","0610","June 30, 2005","HAMILTON",2664,1127,2.36379769299024,0.00354924578527063,2005,2,"716704.657",37.1701226436987
"207","2005-2","1265","June 30, 2005","OTTAWA",4007,1547,2.590174531351,0.00775694893341952,2005,2,"888086.99175917",45.1194538055638
"208","2005-3","0140","September 30, 2005","CALGARY",9639,4514,2.13535666814355,0,2005,3,"1111929.56",86.6871459015803
"209","2005-3","0610","September 30, 2005","HAMILTON",2842,1076,2.64126394052045,0.00929368029739777,2005,3,"718059.824",39.5788749768571
"210","2005-3","1265","September 30, 2005","OTTAWA",3782,1701,2.22339800117578,0.00705467372134039,2005,3,"889863.147523345",42.5009172536924
"211","2005-4","0140","December 31, 2005","CALGARY",10027,4801,2.08852322432826,0,2005,4,"1120692.72",89.4714476239303
"212","2005-4","0610","December 31, 2005","HAMILTON",2910,1036,2.80888030888031,0.0154440154440154,2005,4,"719003.332",40.4726914394883
"213","2005-4","1265","December 31, 2005","OTTAWA",3618,1532,2.36161879895561,0.0417754569190601,2005,4,"891423",40.5867921289893
