"ref_yy","metcode","metro","three_to_five_units","six_to_twenty_units","twentyone_to_sixty_units","sixtyone_to_onehundred_units","greater_than_onehundred_units","avglengthofconstr"
"2008","0340","EDMONTON",13.8032786885246,15.36,17.8181818181818,22.0588235294118,20.4,15.2565217391304
"2008","2270","TORONTO",9.36507936507937,10.5790645879733,19.1428571428571,25.3333333333333,25.8965517241379,11.4911660777385
"2009","0340","EDMONTON",13.4725274725275,16.22,20.9565217391304,25.15,28.7692307692308,17.238578680203
"2009","2270","TORONTO",8.90128755364807,12.3926553672316,16.5,21,25.5,12.2488619119879
"2010","0340","EDMONTON",12.7096774193548,15.265625,15.1,21.6666666666667,26.3333333333333,14.5549450549451
"2010","2270","TORONTO",11.1810344827586,10.6636904761905,17.8947368421053,20.2727272727273,24.0701754385965,12.3847328244275
"2011","0340","EDMONTON",17.1228070175439,13.2558139534884,20,34.25,42.5,17.9943820224719
"2011","2270","TORONTO",8.43181818181818,9.8025,16.4838709677419,24.75,26.8333333333333,11.0956749672346
"2012","0340","EDMONTON",12.1171171171171,12.4545454545455,17,22.2777777777778,17,13.549504950495
"2012","2270","TORONTO",9.23487544483986,10.2266009852217,18.6666666666667,17.8888888888889,26.0980392156863,11.1797900262467
"2013","0340","EDMONTON",10.0718232044199,11.1219512195122,15.75,14.2173913043478,14.75,11.0838709677419
"2013","2270","TORONTO",9.764,11.1783567134269,19.5,18.25,22.35,11.7551266586248
"2014","0340","EDMONTON",11.4570135746606,11.5526315789474,14.0416666666667,16,19.8,12.1258064516129
"2014","2270","TORONTO",11.5095238095238,11.2079439252336,16.7692307692308,24.6923076923077,25.8809523809524,12.5212464589235
"2015","0340","EDMONTON",9.76190476190476,11.7727272727273,17.3076923076923,14.1842105263158,30.3333333333333,11.1187904967603
"2015","2270","TORONTO",10.3793103448276,10.6345609065156,19.4074074074074,19.6363636363636,29.4747474747475,13.8825301204819
