reference_period,ref_qq,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2008-12-01,4,0140,Calgary,T2N,9.0,10,0.9,0.0
2008-12-01,4,0140,Calgary,T3C,2.0,2,1.0,0.0
2008-12-01,4,0140,Calgary,T4C,33.0,54,0.61,0.0
2008-12-01,4,0140,Calgary,T2S,1.0,5,0.2,0.0
2008-12-01,4,0140,Calgary,T3E,16.0,24,0.67,0.0
2008-12-01,4,0140,Calgary,T2E,27.0,10,2.7,0.4
2008-12-01,4,0140,Calgary,T2J,1.0,4,0.25,0.0
2008-12-01,4,0140,Calgary,T2H,2.0,1,2.0,0.0
2008-12-01,4,0140,Calgary,T2K,2.0,2,1.0,0.0
2008-12-01,4,0140,Calgary,T2M,8.0,12,0.67,0.0
2008-12-01,4,0140,Calgary,T2A,0.0,1,0.0,0.0
2008-12-01,4,0140,Calgary,T2T,11.0,35,0.31,0.0
2008-12-01,4,0140,Calgary,T3B,2.0,1,2.0,0.0
2008-12-01,4,0140,Calgary,T2L,0.0,1,0.0,0.0
2008-12-01,4,0140,Calgary,T0M,0.0,1,0.0,0.0
2008-12-01,4,0140,Calgary,T2X,4.0,2,2.0,0.0
2008-12-01,4,0140,Calgary,T2C,30.0,32,0.94,0.13
2008-12-01,4,0140,Calgary,T2Y,0.0,1,0.0,0.0
2008-12-01,4,0140,Calgary,nan,840.0,1080,0.78,0.0
2009-03-01,1,0140,Calgary,T2L,0.0,1,0.0,0.0
2009-03-01,1,0140,Calgary,T2V,2.0,5,0.4,0.0
2009-03-01,1,0140,Calgary,T3B,2.0,3,0.67,0.0
2009-03-01,1,0140,Calgary,T4C,41.0,50,0.82,0.0
2009-03-01,1,0140,Calgary,T3E,10.0,24,0.42,0.0
2009-03-01,1,0140,Calgary,T2T,18.0,21,0.86,0.0
2009-03-01,1,0140,Calgary,T2J,1.0,1,1.0,0.0
2009-03-01,1,0140,Calgary,T2M,13.0,16,0.81,0.0
2009-03-01,1,0140,Calgary,T2B,3.0,4,0.75,0.0
2009-03-01,1,0140,Calgary,T2E,34.0,15,2.27,0.27
2009-03-01,1,0140,Calgary,T3C,4.0,2,2.0,0.0
2009-03-01,1,0140,Calgary,T2C,25.0,25,1.0,0.16
2009-03-01,1,0140,Calgary,T3J,1.0,3,0.33,0.0
2009-03-01,1,0140,Calgary,T2G,20.0,7,2.86,0.0
2009-03-01,1,0140,Calgary,T2N,6.0,11,0.55,0.0
2009-03-01,1,0140,Calgary,T2X,4.0,1,4.0,0.0
