Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
BL234714,15912405,119G 7 AV NE,SHORT TERM RENTAL - TIER ONE,Coach/lane house,2020/06/11,2021/06/11,Licensed,-114.06115149901373,51.058531467180146,POINT (-114.061151499014 51.05853146718),7,4,266,7
BL236201,15929102,944 5A ST NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/08/06,2021/08/06,Cancelled,-114.07544818502005,51.060816318790266,POINT (-114.07544818502 51.06081631879),7,2,62,7
BL234756,15912751,2715 MORLEY TR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/06/12,2021/06/12,Licensed,-114.11134205803519,51.07698279637448,POINT (-114.111342058035 51.076982796374),7,2,153,7
BL234736,15912603,#302 4215 BOW TR SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/12,2021/06/12,Licensed,-114.1481162763826,51.047025465318185,POINT (-114.148116276383 51.047025465318),14,1,281,2
BL234770,15912892,3015 14 AV SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/06/14,2021/06/14,Licensed,-114.13052816680525,51.03956236318724,POINT (-114.130528166805 51.039562363187),14,1,198,2
BL234789,15913122,1008 80 AV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/06/15,2021/06/15,Licensed,-114.08531269300262,50.98162039375212,POINT (-114.085312693003 50.981620393752),8,1,59,5
BL234786,15913106,1327R COLGROVE AV NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/06/15,2021/06/15,Licensed,-114.03289794794466,51.05580828647332,POINT (-114.032897947945 51.055808286473),10,4,171,11
BL234807,15913346,8 ELMONT GR SW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2020/06/18,2021/06/18,Licensed,-114.19134860590903,51.02702126344496,POINT (-114.191348605909 51.027021263445),1,1,289,14
BL234900,15914344,#201 1920 26 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/18,2021/06/18,Licensed,-114.12341186464327,51.03710483151637,POINT (-114.123411864643 51.037104831516),14,1,182,2
BL232826,15888225,2233 5 AV NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/03/02,2021/03/02,Licensed,-114.11241253663817,51.05703722170257,POINT (-114.112412536638 51.057037221703),7,2,280,7
BL231542,15873854,#2307 220 12 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/04,2021/02/03,Licensed,-114.05967298457563,51.04154436687838,POINT (-114.059672984576 51.041544366878),14,3,260,5
BL232883,15888837,123 HUNTFORD CL NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/03/04,2021/03/04,Licensed,-114.06095990895615,51.112044330266144,POINT (-114.060959908956 51.112044330266),2,4,261,4
BL232885,15888860,#306 108 13 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/04,2021/03/04,Licensed,-114.06211328889493,51.06454988281897,POINT (-114.062113288895 51.064549882819),7,4,266,7
BL232899,15888993,689 HAWKWOOD BV NW,SHORT TERM RENTAL - TIER TWO,,2020/03/04,2021/03/04,Licensed,-114.18139714243186,51.130217904412795,POINT (-114.181397142432 51.130217904413),3,2,248,10
BL236243,15929490,107 CRESTRIDGE PL SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/08/07,2021/08/07,Licensed,-114.26042247659971,51.08700587955901,POINT (-114.2604224766 51.087005879559),13,1,31,9
BL232908,15889066,9 SOMERSET CI SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/03/04,2021/03/04,Licensed,-114.08148750385634,50.896913466618365,POINT (-114.081487503856 50.896913466618),5,1,55,6
BL232909,15889082,52B CORNER MEADOWS GA NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/03/04,2021/03/04,Licensed,-113.93325238868904,51.151617358014825,POINT (-113.933252388689 51.151617358015),11,4,11,1
BL232910,15889090,1422 18 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/03/04,2021/03/04,Licensed,-114.09354159636432,51.06898369831631,POINT (-114.093541596364 51.068983698316),7,2,63,7
BL233230,15893860,#2807 1188 3 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/18,2021/03/18,Licensed,-114.0556621172161,51.0414644186415,POINT (-114.055662117216 51.041464418642),14,3,260,5
BL231812,15876634,,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/06,2021/02/05,Cancelled,,,,,,,
